Protein	log2(fold_change)	-log10(fdr_BH)	Gene
sp|Q07812|BAX_HUMAN	1.2599162422301653	3.6024946438400574	BAX
sp|P46779|RL28_HUMAN	-0.5264670383855371	3.5809491144757626	RPL28
sp|Q13242|SRSF9_HUMAN	-0.6314617451373518	3.568864384540157	SRSF9
sp|P42696|RBM34_HUMAN	-0.4777400035402595	3.567742822543324	RBM34
sp|P27797|CALR_HUMAN	-0.6503829697812326	3.5574164117125084	CALR
sp|P26583|HMGB2_HUMAN	-0.892334651359693	3.5461569624660108	HMGB2
sp|P78371|TCPB_HUMAN	-0.4739495632106502	3.5461569624660108	CCT2
sp|P24534|EF1B_HUMAN	-0.6208018999037401	3.5461569624660108	EEF1B2
sp|P11388|TOP2A_HUMAN	-0.9376848227650724	3.5416036241143094	TOP2A
sp|Q6Y288|B3GLT_HUMAN	0.8392441799529503	3.530232017415824	B3GLCT
sp|P13674|P4HA1_HUMAN	-0.7185633318831909	3.518200224046031	P4HA1
sp|O95782|AP2A1_HUMAN	-0.5135519358369509	3.5012852138352506	AP2A1
sp|P37840|SYUA_HUMAN	-1.4677251653318153	3.49819205488051	SNCA
sp|P06733|ENOA_HUMAN	-0.544928389477429	3.49819205488051	ENO1
sp|Q13162|PRDX4_HUMAN	0.3781872660136456	3.49819205488051	PRDX4
sp|Q8NGD5|OR4KE_HUMAN	-1.7028048561377296	3.492616350526003	OR4K14
sp|O75179|ANR17_HUMAN	-0.8096631847096287	3.492616350526003	ANKRD17
sp|Q15061|WDR43_HUMAN	-0.6840709951539689	3.481742528767739	WDR43
sp|Q9BRA2|TXD17_HUMAN	0.5878272788198058	3.478311359936963	TXNDC17
sp|Q00610|CLH1_HUMAN	-0.4002793081501411	3.4762806231480825	CLTC
sp|Q9Y2W1|TR150_HUMAN	-0.5934227063452595	3.472408021913435	THRAP3
sp|Q14149|MORC3_HUMAN	-0.5704583699265795	3.472408021913435	MORC3
sp|P52815|RM12_HUMAN	-0.6607486895855211	3.471138125407718	MRPL12
sp|Q8IYK2|CC105_HUMAN	-0.5496508346590854	3.471138125407718	CCDC105
sp|P46778|RL21_HUMAN	-0.5759156260988835	3.459563925535487	RPL21
sp|Q9BSD7|NTPCR_HUMAN	0.8005326177724623	3.4578966023115494	NTPCR
sp|Q16576|RBBP7_HUMAN	-0.573921690082819	3.4550388442904314	RBBP7
sp|Q9P2J5|SYLC_HUMAN	-0.6585052645587609	3.4479840991106947	LARS
sp|P08758|ANXA5_HUMAN	0.5617406181785853	3.431581724267378	ANXA5
sp|O60281|ZN292_HUMAN	0.9831028091747884	3.431581724267378	ZNF292
sp|Q16630|CPSF6_HUMAN	-0.5674179585297889	3.408893020257863	CPSF6
sp|Q15147|PLCB4_HUMAN	-0.7199194188102553	3.396505515916344	PLCB4
sp|P14868|SYDC_HUMAN	-0.6967975965867627	3.385661647744775	DARS
sp|P62241|RS8_HUMAN	-0.5889009056003229	3.3843426764030307	RPS8
sp|Q14444|CAPR1_HUMAN	-0.7552351193995062	3.379134961880168	CAPRIN1
sp|P55327|TPD52_HUMAN	-0.9461308656023824	3.368683744565328	TPD52
sp|P30487|1B49_HUMAN;sp|P30488|1B50_HUMAN	0.8621334147580682	3.353543413086716	HLA-B
sp|P19387|RPB3_HUMAN	1.178586344829082	3.3286021427670103	POLR2C
sp|Q15365|PCBP1_HUMAN	-0.4810642471093175	3.3120112185685704	PCBP1
sp|Q15637|SF01_HUMAN	-0.748046906259539	3.3120112185685704	SF1
sp|Q7L592|NDUF7_HUMAN	-0.7633235210190839	3.295406469538066	NDUFAF7
sp|O76070|SYUG_HUMAN	0.7233857229873724	3.2886635548177416	SNCG
sp|P51649|SSDH_HUMAN	-0.9093586660249244	3.282803618731598	ALDH5A1
sp|O14795|UN13B_HUMAN	-0.5817933610906525	3.28127731027011	UNC13B
sp|Q02818|NUCB1_HUMAN	-0.6901453411099672	3.2775124319822218	NUCB1
sp|Q9BS26|ERP44_HUMAN	-0.4134367739948478	3.268473134291098	ERP44
sp|P46013|KI67_HUMAN	-0.7145717024581556	3.259293032462618	MKI67
sp|O60841|IF2P_HUMAN	-0.6059587467866193	3.252465986225477	EIF5B
sp|Q99459|CDC5L_HUMAN	-0.6352557793083079	3.251618443360677	CDC5L
sp|Q9Y5B9|SP16H_HUMAN	-0.6874294484018847	3.251618443360677	SUPT16H
sp|P47755|CAZA2_HUMAN	-0.5766667018792936	3.251618443360677	CAPZA2
sp|Q9BVL2|NUP58_HUMAN	1.096967152362114	3.2472524434905807	NUP58
sp|P40818|UBP8_HUMAN	0.3419892727039071	3.236878532117073	USP8
sp|Q14151|SAFB2_HUMAN	-0.6318383548891465	3.236878532117073	SAFB2
sp|Q9Y3B2|EXOS1_HUMAN	1.0822783384200692	3.228531831497636	EXOSC1
sp|Q3ZCQ8|TIM50_HUMAN	-0.8282016754576821	3.228144493538028	TIMM50
sp|P16104|H2AX_HUMAN	-1.2332559384902622	3.2214592665206974	H2AFX
sp|Q00688|FKBP3_HUMAN	-0.5662678353128261	3.2152170248981107	FKBP3
sp|Q70EK8|UBP53_HUMAN	0.7118306171339837	3.2138992453900923	USP53
sp|O75746|CMC1_HUMAN	-0.7985765844299042	3.2135136725030504	SLC25A12
sp|P13533|MYH6_HUMAN	1.0128465695038948	3.2135136725030504	MYH6
sp|O43809|CPSF5_HUMAN	-0.3401957106600146	3.196492967541666	NUDT21
sp|Q9Y265|RUVB1_HUMAN	-0.659187395761816	3.196050072491671	RUVBL1
sp|Q15758|AAAT_HUMAN	-0.82217644061205	3.1947452059100656	SLC1A5
sp|Q9NX63|MIC19_HUMAN	-0.8169998891151362	3.1922501550725624	CHCHD3
sp|P52701|MSH6_HUMAN	-0.7878760097505153	3.1814151256542718	MSH6
sp|P61916|NPC2_HUMAN	0.6666550310668033	3.1814151256542718	NPC2
sp|Q14008|CKAP5_HUMAN	-0.5171248882243216	3.1805589831072414	CKAP5
sp|P26373|RL13_HUMAN	-0.6872156878014555	3.1805589831072414	RPL13
sp|P39687|AN32A_HUMAN	-0.5144455989556017	3.17959596624526	ANP32A
sp|Q15287|RNPS1_HUMAN	-0.8834707716664219	3.179000659851438	RNPS1
sp|Q9Y2R4|DDX52_HUMAN	-0.3509537804739657	3.176737096629025	DDX52
sp|Q96EY1|DNJA3_HUMAN	-0.771951084393701	3.176723449977332	DNAJA3
sp|O60869|EDF1_HUMAN	-0.7374886534975666	3.17348653028679	EDF1
sp|Q05193|DYN1_HUMAN	-0.5759492718910029	3.170837486880133	DNM1
sp|Q52LJ0|FA98B_HUMAN	-2.223534146909717	3.167065412600464	FAM98B
sp|B5ME19|EIFCL_HUMAN;sp|Q99613|EIF3C_HUMAN	-0.3991993724698762	3.157338230592313	EIF3CL
sp|Q29RF7|PDS5A_HUMAN	-0.6829482586963583	3.1523735151872403	PDS5A
sp|O75400|PR40A_HUMAN	-1.1225031175044404	3.150511677902361	PRPF40A
sp|Q13451|FKBP5_HUMAN	-0.6831426807336882	3.1449452178342705	FKBP5
sp|O00159|MYO1C_HUMAN	-0.7630765633590861	3.138984588718312	MYO1C
sp|O43592|XPOT_HUMAN	-0.691042276698301	3.138984588718312	XPOT
sp|P47756|CAPZB_HUMAN	-0.7451675899490191	3.138984588718312	CAPZB
sp|Q9H307|PININ_HUMAN	-0.504752502218742	3.138984588718312	PNN
sp|P02751|FINC_HUMAN	0.8527439048156382	3.138984588718312	FN1
sp|P30049|ATPD_HUMAN	-0.3701178282129439	3.1320877859706706	ATP5F1D
sp|Q9NP97|DLRB1_HUMAN	-0.5873055945009934	3.1320877859706706	DYNLRB1
sp|Q07065|CKAP4_HUMAN	0.4427912882107903	3.1320877859706706	CKAP4
sp|Q8TCS8|PNPT1_HUMAN	-0.6803492454547766	3.1132677741724777	PNPT1
sp|Q13151|ROA0_HUMAN	-0.7612609960619525	3.1074988552621865	HNRNPA0
sp|P52907|CAZA1_HUMAN	-0.5646961147976454	3.1059353718242666	CAPZA1
sp|Q8N7R7|CCYL1_HUMAN	-0.7632704856588755	3.0967213541525145	CCNYL1
sp|Q14019|COTL1_HUMAN	0.7123365998184805	3.0954087206267755	COTL1
sp|Q9UMX5|NENF_HUMAN	0.8973934057637092	3.0954087206267755	NENF
sp|O75955|FLOT1_HUMAN	1.0147969046233438	3.078148546674232	FLOT1
sp|P35659|DEK_HUMAN	-0.9463607758495686	3.0762042730011587	DEK
sp|P42765|THIM_HUMAN	-0.708113085637398	3.071991755319724	ACAA2
sp|P14735|IDE_HUMAN	1.465915751506499	3.070677882868168	IDE
sp|Q9NSE4|SYIM_HUMAN	-0.5548465038083694	3.069901771318742	IARS2
sp|Q86SG6|NEK8_HUMAN	0.5746788922072184	3.057320838191968	NEK8
sp|P08865|RSSA_HUMAN	-0.8453835153942146	3.057320838191968	RPSA
sp|Q9UHD8|SEPT9_HUMAN	-0.6469098856771809	3.052312949738662	SEPT9
sp|Q00653|NFKB2_HUMAN	-0.7109703308176389	3.0472455102803755	NFKB2
sp|P31689|DNJA1_HUMAN	0.5886002245372746	3.043886106533412	DNAJA1
sp|P49748|ACADV_HUMAN	0.7358019389948831	3.0328365971430298	ACADVL
sp|Q9UQ35|SRRM2_HUMAN	-0.8482219884398654	3.031855823755004	SRRM2
sp|O14980|XPO1_HUMAN	-0.5023737025324693	3.019729800768807	XPO1
sp|Q92688|AN32B_HUMAN	-0.5640056358417238	3.0113770434741896	ANP32B
sp|P11142|HSP7C_HUMAN	-0.4973097963137568	3.011251273381373	HSPA8
sp|Q8NCY6|MSD4_HUMAN	-1.9523072646016608	3.0081620255509134	MSANTD4
sp|P52735|VAV2_HUMAN	-0.4752604727723554	3.006299210457706	VAV2
sp|P04843|RPN1_HUMAN	-0.4623471802544852	3.006257717611351	RPN1
sp|P55060|XPO2_HUMAN	-0.5050785899918475	2.999913141384467	CSE1L
sp|Q96T88|UHRF1_HUMAN	-0.914025607131104	2.9991884760889542	UHRF1
sp|O75937|DNJC8_HUMAN	0.793227184833099	2.9991884760889542	DNAJC8
sp|Q13310|PABP4_HUMAN	-0.7179493715157346	2.9991884760889542	PABPC4
sp|Q86X55|CARM1_HUMAN	-0.6402319689640933	2.997025783425808	CARM1
sp|P02042|HBD_HUMAN;sp|P68871|HBB_HUMAN	1.2547743272575973	2.997025783425808	HBD
sp|P09661|RU2A_HUMAN	-0.8696389465036619	2.996392347883168	SNRPA1
sp|Q9P219|DAPLE_HUMAN	-0.5151799577251468	2.981911917891505	CCDC88C
sp|Q9Y4B6|DCAF1_HUMAN	-0.7295073697961034	2.976987697404132	DCAF1
sp|P09012|SNRPA_HUMAN	-0.5950058100713617	2.9628807685493315	SNRPA
sp|Q9UG63|ABCF2_HUMAN	-1.12372579221378	2.95921447892803	ABCF2
sp|Q9BQG0|MBB1A_HUMAN	-0.6482160837252261	2.949687559175633	MYBBP1A
sp|P61011|SRP54_HUMAN	-0.7355841206380931	2.9472700919671784	SRP54
sp|Q8IWX7|UN45B_HUMAN	-0.6876018563314773	2.925261273307441	UNC45B
sp|O43181|NDUS4_HUMAN	-0.922946597846422	2.921165590855987	NDUFS4
sp|Q12849|GRSF1_HUMAN	-1.122929380690474	2.920125771980286	GRSF1
sp|P49257|LMAN1_HUMAN	-0.6005986700410488	2.9150930622939635	LMAN1
sp|Q02224|CENPE_HUMAN	-0.5268039478776264	2.9124194103653864	CENPE
sp|P25398|RS12_HUMAN	-0.5635688454869344	2.910018783376933	RPS12
sp|Q9ULU4|PKCB1_HUMAN	-1.9211931618667757	2.90914246363676	ZMYND8
sp|Q9UMX0|UBQL1_HUMAN	-0.8214854654912702	2.9082585440590694	UBQLN1
sp|Q96GQ7|DDX27_HUMAN	-0.792566831921934	2.8974855630791216	DDX27
sp|P67809|YBOX1_HUMAN	-1.1156403978103948	2.8949891314106755	YBX1
sp|P08473|NEP_HUMAN	-0.7926521399498095	2.88695382562008	MME
sp|Q14498|RBM39_HUMAN	-0.4751294264288612	2.880151051817528	RBM39
sp|P62805|H4_HUMAN	-0.8020612854366072	2.880151051817528	HIST1H4A
sp|P20042|IF2B_HUMAN	-0.6590805325335553	2.880151051817528	EIF2S2
sp|Q9UQE7|SMC3_HUMAN	-0.5469759604963162	2.876753830719537	SMC3
sp|Q14839|CHD4_HUMAN	-0.6794562157858883	2.8756992935138173	CHD4
sp|Q9BYT3|STK33_HUMAN	-0.7202326065161964	2.855042868132592	STK33
sp|P47914|RL29_HUMAN	-1.1972122631756863	2.853283359278417	RPL29
sp|P62829|RL23_HUMAN	-0.6871601975970809	2.8497373299961755	RPL23
sp|P23526|SAHH_HUMAN	0.5163583470806129	2.846607199065688	AHCY
sp|Q9Y623|MYH4_HUMAN	-0.608286994637147	2.8381947900330777	MYH4
sp|Q04826|1B40_HUMAN	0.8866360953751358	2.836110944617276	HLA-B
sp|Q9NW64|RBM22_HUMAN	-1.5731816142702355	2.8349063098721308	RBM22
sp|P61604|CH10_HUMAN	0.3386127801261126	2.8248668884330463	HSPE1
sp|P05387|RLA2_HUMAN	-0.652597141378202	2.8248668884330463	RPLP2
sp|P51572|BAP31_HUMAN	-0.6019393135393887	2.8222557713752177	BCAP31
sp|Q05682|CALD1_HUMAN	0.6481476240494991	2.8166039864832837	CALD1
sp|P07858|CATB_HUMAN	0.9481752771127004	2.8133036178439363	CTSB
sp|P31943|HNRH1_HUMAN	-0.5240023129135579	2.805670163821406	HNRNPH1
sp|Q969X6|UTP4_HUMAN	-0.8950826965151719	2.789090436824889	UTP4
sp|Q13838|DX39B_HUMAN	-0.5101217474691762	2.7756954627963943	DDX39B
sp|Q9UI30|TR112_HUMAN	-0.4801009684780034	2.775316142750735	TRMT112
sp|Q9NYU2|UGGG1_HUMAN	-0.4915130026167034	2.775316142750735	UGGT1
sp|Q15388|TOM20_HUMAN	-0.9299541392188456	2.7749771728029766	TOMM20
sp|Q95365|1B38_HUMAN	0.8474386469845957	2.7731554449413984	HLA-B
sp|O43615|TIM44_HUMAN	-0.4698705675182514	2.7700332872057296	TIMM44
sp|Q02809|PLOD1_HUMAN	-0.6652856994840074	2.7670912402924346	PLOD1
sp|Q13724|MOGS_HUMAN	-1.1294984548792122	2.763383905807552	MOGS
sp|Q3ZCW2|LEGL_HUMAN	1.1663422919782844	2.762675846520528	LGALSL
sp|Q9NS69|TOM22_HUMAN	-0.9243575385247422	2.760888690748051	TOMM22
sp|P69905|HBA_HUMAN	0.7958582642106857	2.7606924257867758	HBA1
sp|Q9Y266|NUDC_HUMAN	-0.578023995869331	2.757942749894303	NUDC
sp|Q07955|SRSF1_HUMAN	-0.7595149520616384	2.7578910028214345	SRSF1
sp|P49406|RM19_HUMAN	-0.6316935354269309	2.755372217807354	MRPL19
sp|O00410|IPO5_HUMAN	-0.6819362071792863	2.754668768934674	IPO5
sp|P37802|TAGL2_HUMAN	0.7768485732513266	2.75348052174007	TAGLN2
sp|P18754|RCC1_HUMAN	-0.4220752965591883	2.75348052174007	RCC1
sp|P60228|EIF3E_HUMAN	-0.5278357635197148	2.75348052174007	EIF3E
sp|P26641|EF1G_HUMAN	-0.4384931309038239	2.74760974937956	EEF1G
sp|Q9NTK5|OLA1_HUMAN	-0.5912068543059943	2.736444881568068	OLA1
sp|P46777|RL5_HUMAN	-0.5717168962812831	2.734253112009152	RPL5
sp|Q99986|VRK1_HUMAN	-0.8075649964120755	2.731536800810157	VRK1
sp|O95757|HS74L_HUMAN	1.147150314642326	2.729531110144236	HSPA4L
sp|O95218|ZRAB2_HUMAN	-0.7087574858642811	2.729531110144236	ZRANB2
sp|Q08257|QOR_HUMAN	-0.7151043259290372	2.7256991403666064	CRYZ
sp|P62888|RL30_HUMAN	-0.6848184149663528	2.7118153231914217	RPL30
sp|Q86SX6|GLRX5_HUMAN	-0.6185388710574755	2.7079052083321518	GLRX5
sp|Q8WUM4|PDC6I_HUMAN	-0.4288941607699558	2.707438452531532	PDCD6IP
sp|Q6NVY1|HIBCH_HUMAN	-1.2759226354695845	2.706766534358341	HIBCH
sp|Q07021|C1QBP_HUMAN	-1.275119615321264	2.702144627752717	C1QBP
sp|P53990|IST1_HUMAN	1.0146458731215668	2.698242194458375	IST1
sp|Q96KP4|CNDP2_HUMAN	-0.7432889860897803	2.681336293143661	CNDP2
sp|P01008|ANT3_HUMAN	-1.3891398890229505	2.6749942299053644	SERPINC1
sp|Q7Z7K6|CENPV_HUMAN	-0.4464099672834225	2.674112614832254	CENPV
sp|P37108|SRP14_HUMAN	-0.7543451326511643	2.6649336529200367	SRP14
sp|P18669|PGAM1_HUMAN	-0.4700810983595136	2.6649336529200367	PGAM1
sp|Q86T65|DAAM2_HUMAN	0.5426090864717923	2.657958697072445	DAAM2
sp|P18206|VINC_HUMAN	-0.3998862335301939	2.657292259119856	VCL
sp|P20020|AT2B1_HUMAN	-0.747410210612604	2.6423139945464063	ATP2B1
sp|O95573|ACSL3_HUMAN	-1.2067706608823603	2.640973723579864	ACSL3
sp|P38935|SMBP2_HUMAN	0.7602623544178901	2.638615738294603	IGHMBP2
sp|P49915|GUAA_HUMAN	-0.7852999208087155	2.6385354198075164	GMPS
sp|P82979|SARNP_HUMAN	-0.6143217088650528	2.6385354198075164	SARNP
sp|P08238|HS90B_HUMAN	-0.4651532306398396	2.624959258922999	HSP90AB1
sp|Q92598|HS105_HUMAN	-0.4734499823593963	2.6233275349363714	HSPH1
sp|Q9H2U2|IPYR2_HUMAN	-0.8746158929916341	2.6233275349363714	PPA2
sp|Q6P2E9|EDC4_HUMAN	-0.4661951400450286	2.6233275349363714	EDC4
sp|P49916|DNLI3_HUMAN	-0.6343686567773881	2.621639522768496	LIG3
sp|Q2TAY7|SMU1_HUMAN	-0.5348150435754049	2.613520258400607	SMU1
sp|P51571|SSRD_HUMAN	0.5846777488700606	2.61204854395571	SSR4
sp|Q8WUM0|NU133_HUMAN	-0.5186089065412279	2.6078589310927827	NUP133
sp|Q07866|KLC1_HUMAN	-1.222247568983943	2.607124361401893	KLC1
sp|P08195|4F2_HUMAN	-0.7216421835781353	2.6042287973704425	SLC3A2
sp|Q8WVV9|HNRLL_HUMAN	-1.0532472749341983	2.6028662277431898	HNRNPLL
sp|Q9NRR5|UBQL4_HUMAN	-0.6744016615226521	2.6009491476764115	UBQLN4
sp|P15880|RS2_HUMAN	-0.6983302398830342	2.5909012101349544	RPS2
sp|Q13442|HAP28_HUMAN	-0.5046763791338816	2.583298021661109	PDAP1
sp|O75367|H2AY_HUMAN	-0.5502832339085038	2.578292520582732	H2AFY
sp|Q9Y6E2|BZW2_HUMAN	-0.4155490391269952	2.57506238093023	BZW2
sp|O14908|GIPC1_HUMAN	-0.6803949566820936	2.568790774468129	GIPC1
sp|Q9H0A0|NAT10_HUMAN	-0.3697154179104973	2.5520789709610128	NAT10
sp|Q01082|SPTB2_HUMAN	-0.708336732373014	2.541415610678409	SPTBN1
sp|Q8NE71|ABCF1_HUMAN	-0.7356421662310866	2.525533591323136	ABCF1
sp|Q13492|PICAL_HUMAN	-0.7186017399081477	2.50696156114288	PICALM
sp|P50570|DYN2_HUMAN	-2.071129793909918	2.506948691131168	DNM2
sp|O43237|DC1L2_HUMAN	-0.7171781094266947	2.502305166779633	DYNC1LI2
sp|P56545|CTBP2_HUMAN	1.433612263333515	2.5021011039593213	CTBP2
sp|P54578|UBP14_HUMAN	-0.9526041404484158	2.4876617073122675	USP14
sp|Q8NEC7|GSTCD_HUMAN	-0.6369838207273522	2.4876617073122675	GSTCD
sp|P26368|U2AF2_HUMAN	-0.5938431650265793	2.475961783708327	U2AF2
sp|Q7Z3E5|ARMC9_HUMAN	-0.7931999685638726	2.475910535859108	ARMC9
sp|P06756|ITAV_HUMAN	-0.6108973201906003	2.4740470488253927	ITGAV
sp|Q9Y320|TMX2_HUMAN	0.0494917155679281	2.4674640523720117	TMX2
sp|P07910|HNRPC_HUMAN	-0.4800349423827085	2.464905308737037	HNRNPC
sp|Q16881|TRXR1_HUMAN	0.8163648454342545	2.46458452709014	TXNRD1
sp|Q02127|PYRD_HUMAN	-0.5879251330951005	2.4467195855198125	DHODH
sp|P28074|PSB5_HUMAN	-1.504145017665496	2.4461776920290657	PSMB5
sp|O94826|TOM70_HUMAN	-0.4667386817369551	2.443951455180688	TOMM70
sp|O43402|EMC8_HUMAN	-0.7259616852269418	2.4369464477984	EMC8
sp|P40926|MDHM_HUMAN	-0.432618597664863	2.4369464477984	MDH2
sp|P35226|BMI1_HUMAN	-2.632016420701546	2.435922353931332	BMI1
sp|Q14157|UBP2L_HUMAN	-0.5235797267066715	2.4357568937603835	UBAP2L
sp|Q9Y230|RUVB2_HUMAN	-0.4215218861109375	2.4314122523732045	RUVBL2
sp|Q86UE4|LYRIC_HUMAN	-0.5294895893525349	2.429800301485716	MTDH
sp|P11055|MYH3_HUMAN	0.7665970446257012	2.4148757436606623	MYH3
sp|Q9Y6M1|IF2B2_HUMAN	-0.5633014369579914	2.404432706287289	IGF2BP2
sp|A6NDG6|PGP_HUMAN	-0.513742769784036	2.402449000971507	PGP
sp|O15213|WDR46_HUMAN	0.7540412349636583	2.402449000971507	WDR46
sp|P55072|TERA_HUMAN	0.3762134045839618	2.402449000971507	VCP
sp|P46782|RS5_HUMAN	-0.5252415553801254	2.402449000971507	RPS5
sp|P08962|CD63_HUMAN	0.716619128550555	2.402449000971507	CD63
sp|Q96CN4|EVI5L_HUMAN	-0.5205687799652897	2.401048179525495	EVI5L
sp|Q9UGI8|TES_HUMAN	-0.6104945071164707	2.4010358488222194	TES
sp|Q99436|PSB7_HUMAN	-0.641052777679348	2.4005466603350403	PSMB7
sp|Q9H6R4|NOL6_HUMAN	0.540711336191404	2.3945977923889683	NOL6
sp|Q32P28|P3H1_HUMAN	-0.4164789454283965	2.393439469033908	P3H1
sp|Q9UNX3|RL26L_HUMAN	-0.4978053413424962	2.392746987974757	RPL26L1
sp|O94992|HEXI1_HUMAN	0.5446238388685678	2.381902714105382	HEXIM1
sp|Q92974|ARHG2_HUMAN	-0.3243039085170549	2.381902714105382	ARHGEF2
sp|Q2T9J0|TYSD1_HUMAN	-0.7966997104077433	2.381902714105382	TYSND1
sp|Q9UKF6|CPSF3_HUMAN	-2.008595207721353	2.381902714105382	CPSF3
sp|P05023|AT1A1_HUMAN	-0.586016787647087	2.3810554378052986	ATP1A1
sp|Q9P2E2|KIF17_HUMAN	-0.4156977884056378	2.380062568661585	KIF17
sp|P62820|RAB1A_HUMAN	0.475636824143512	2.375183418884987	RAB1A
sp|Q5EBL4|RIPL1_HUMAN	-0.4856572566936641	2.3751590854112115	RILPL1
sp|Q9NP81|SYSM_HUMAN	-0.5235480936428557	2.3751590854112115	SARS2
sp|Q7Z7A1|CNTRL_HUMAN	-0.5801934232800752	2.3751523021735577	CNTRL
sp|P68104|EF1A1_HUMAN	-0.7341226816729818	2.3696915929299966	EEF1A1
sp|P52948|NUP98_HUMAN	-0.355679494997365	2.363570747745151	NUP98
sp|Q03252|LMNB2_HUMAN	-0.5117382751879431	2.363570747745151	LMNB2
sp|P23921|RIR1_HUMAN	-0.7229729929186901	2.363570747745151	RRM1
sp|Q99543|DNJC2_HUMAN	-2.304485755662592	2.352362409071357	DNAJC2
sp|Q15102|PA1B3_HUMAN	-0.6484028411771968	2.350205646435197	PAFAH1B3
sp|O43395|PRPF3_HUMAN	-0.512939346601326	2.350033555599068	PRPF3
sp|Q9NRZ9|HELLS_HUMAN	-0.4940782093893186	2.3478080243485087	HELLS
sp|P09884|DPOLA_HUMAN	-0.4351098701732795	2.3449447014259	POLA1
sp|Q9HCE1|MOV10_HUMAN	-0.4465650143972048	2.3408651062905976	MOV10
sp|Q9BZZ5|API5_HUMAN	-0.5226518697869316	2.3377930987939166	API5
sp|P62277|RS13_HUMAN	-0.6831599764448382	2.3353412448835718	RPS13
sp|Q9GZZ1|NAA50_HUMAN	-0.9754785046914995	2.3323501001900864	NAA50
sp|P54920|SNAA_HUMAN	-0.5892676643949668	2.3272881863725345	NAPA
sp|Q9BYD6|RM01_HUMAN	-1.395052956254457	2.321500625724008	MRPL1
sp|P28070|PSB4_HUMAN	-0.8065851106742382	2.319812955078587	PSMB4
sp|Q9Y5X3|SNX5_HUMAN	1.0862220844293982	2.3189782940966523	SNX5
sp|Q7Z4H8|PLGT3_HUMAN	-0.7354611837325121	2.318345180241522	KDELC2
sp|P50402|EMD_HUMAN	0.1286418904801761	2.318345180241522	EMD
sp|Q9C0C2|TB182_HUMAN	-0.4862386322876546	2.315711131380985	TNKS1BP1
sp|P12035|K2C3_HUMAN	1.0099979897669535	2.307303448583456	KRT3
sp|Q9HCF6|TRPM3_HUMAN	-0.5974779892833275	2.2978410049637894	TRPM3
sp|P61247|RS3A_HUMAN	-0.4395828434650104	2.290308937326237	RPS3A
sp|Q9Y2W2|WBP11_HUMAN	-0.4970456555622433	2.286890140067938	WBP11
sp|O95678|K2C75_HUMAN	-0.6122980318920576	2.283218493226898	KRT75
sp|P31937|3HIDH_HUMAN	-0.6084343752427018	2.2817713740089545	HIBADH
sp|Q9Y5Q8|TF3C5_HUMAN	1.2434988958123716	2.2752000762637774	GTF3C5
sp|Q9NUQ9|FA49B_HUMAN	0.7070152242794843	2.2752000762637774	FAM49B
sp|Q12888|TP53B_HUMAN	-0.5023500459825901	2.273791554847239	TP53BP1
sp|O00425|IF2B3_HUMAN	-0.4123951448085726	2.272559819157558	IGF2BP3
sp|Q9BQ39|DDX50_HUMAN	-0.4683429241869214	2.271034022803858	DDX50
sp|P61221|ABCE1_HUMAN	-0.6197719869259402	2.264142426150725	ABCE1
sp|Q01970|PLCB3_HUMAN	-2.101551940242354	2.263609885548657	PLCB3
sp|Q9BSJ8|ESYT1_HUMAN	-0.7359492788170411	2.262887459623149	ESYT1
sp|Q16595|FRDA_HUMAN	0.9861418216011726	2.259788969079177	FXN
sp|Q9BUJ2|HNRL1_HUMAN	-0.7484360561227139	2.251942119479171	HNRNPUL1
sp|P13473|LAMP2_HUMAN	0.6841054061730072	2.24894295639366	LAMP2
sp|Q9UKX3|MYH13_HUMAN	0.9134683121736544	2.222575930101505	MYH13
sp|Q14137|BOP1_HUMAN	-0.8935529406356821	2.222575930101505	BOP1
sp|Q13561|DCTN2_HUMAN	-0.4622995376821066	2.2165805898549364	DCTN2
sp|P48643|TCPE_HUMAN	-0.4533899176134723	2.2139751926800937	CCT5
sp|O60313|OPA1_HUMAN	-0.9390530147321507	2.211476352038212	OPA1
sp|Q9Y570|PPME1_HUMAN	0.912275800061262	2.1992742107539973	PPME1
sp|Q6ZTA4|TRI67_HUMAN	-0.6322113566384386	2.1977829467338506	TRIM67
sp|P24752|THIL_HUMAN	-0.4207651603428332	2.194451458364361	ACAT1
sp|P13797|PLST_HUMAN	-0.6291036281393101	2.1928104372971924	PLS3
sp|Q9UPS8|ANR26_HUMAN	0.6248019638882486	2.18965213093181	ANKRD26
sp|O95273|CCDB1_HUMAN	-0.5497886633141968	2.1845478499876183	CCNDBP1
sp|Q9Y221|NIP7_HUMAN	-1.921981893384503	2.1845478499876183	NIP7
sp|P34897|GLYM_HUMAN	-0.3989310137716453	2.178263457916879	SHMT2
sp|P29692|EF1D_HUMAN	-0.440395184678465	2.178263457916879	EEF1D
sp|P14550|AK1A1_HUMAN	-0.4799251192619129	2.1741641231549407	AKR1A1
sp|Q6UN15|FIP1_HUMAN	-0.6791588291119404	2.1741183204994448	FIP1L1
sp|P53597|SUCA_HUMAN	-0.6490631465590677	2.16897163797288	SUCLG1
sp|P24928|RPB1_HUMAN	0.4382407505858525	2.1676592250471995	POLR2A
sp|O14562|UBFD1_HUMAN	-0.7097803483269236	2.1676592250471995	UBFD1
sp|P05165|PCCA_HUMAN	-1.0428717292054015	2.1667797789904726	PCCA
